Model,MAE,RMSE
Ratio OSRM Duration using all 3,189.19905867879308,357.8558994134779
Ratio OSRM Duration using OSRM km,189.6849098721651,357.866826763831
Ratio OSRM Duration using Predicted km,189.69433489649114,359.28498463937683
Ratio Engineered Time using Pred KM & Traffic - Feature includes OSRM KM,190.065734800074,357.52890823198476
Ratio Engineered Time using Pred KM & Traffic - Feature includes Predicted KM,190.15402204855806,358.1839960749354
LightGBM quantileOSRM SECONDS & OSRM KM,191.26393598175906,360.4709705723362
LightGBMOSRM SECONDS & PREDICTED,191.3866681860226,360.48688146291613
LightGBM quantileOSRM SECONDS & PREDICTED,191.43202303227548,360.60455243681906
LightGBMOSRM SECONDS & OSRM KM,191.44998274157848,360.508192711567
LightGBM quantileOSRM SECONDS & OSRM KM & KM PRED,191.5591109097422,360.79759491135013
LightGBMOSRM SECONDS & OSRM KM & KM PRED,191.62266087346262,360.76774778196017
LightGBM quantileOSRM SECONDS,191.66526630215503,360.6750389517584
LightGBMOSRM SECONDS,191.72479941841507,360.8451004071867
Ratio of OSRM and Predicted and Error Bias,192.88152856168398,358.2678090642547
LightGBM quantilePREDICTED DISTANCE,193.8868684603171,360.5077878962616
LightGBMPREDICTED DISTANCE,194.03409435563285,360.6232777362285
LightGBMOSRM DISTANCE,194.85166800961156,360.16586468737484
LightGBM quantileOSRM DISTANCE,194.88027246374205,360.10529113361196
Ratio Engineered Time using OSRM KM & Traffic - Feature includes OSRM KM,230.95085452578505,3802.595762992274
Ratio Engineered Time using OSRM KM & Traffic - Feature includes Predicted KM,230.95085452578505,3802.595762992274
Engineered Seconds with Traffic and OSRM Distance no ML ,283.4693631754973,466.9588567648267
Engineered Seconds with Traffic and Predicted Distance no ML ,296.2178163245333,472.8771168443562
OSRM Seconds no change,363.6283214803444,562.838419734061
Constant-median baseline  MAE,524.9492941491526,747.5800211528898
